borrower_id,age,gender,education_level,village_state,occupation_type,family_members,dependents,land_size_acres,crop_type,rainfall_mm,irrigation_type,soil_quality_index,annual_yield_tonnes,shop_monthly_revenue,business_expenses,inventory_value,annual_income,mobile_transactions_per_month,loan_amount_requested,previous_loans,previous_defaults,loan_repayment_status
R0015,54,Male,Secondary,Telangana,Farmer,6,1,8.79,Millets,1108.5,Borewell,53,10.45,0,0,0,202866.14,17,188049,1,0,1
R0016,62,Female,Graduate,Gujarat,Farmer,5,0,1.11,Rice,1000.3,Borewell,77,2.53,0,0,0,57883.04,20,182336,1,0,1
R0017,65,Male,None,Tamil Nadu,Farmer,2,1,2.76,Groundnut,1131.6,Borewell,53,3.7,0,0,0,67349.73,16,169063,1,0,0
R0018,56,Female,Secondary,Tamil Nadu,Farmer,8,6,1.42,Millets,369,Canal,62,1.67,0,0,0,35208.35,18,84944,3,0,0
R0019,63,Male,Primary,Maharashtra,Farmer,4,0,2.31,Groundnut,969.1,Canal,48,3.89,0,0,0,111158.95,32,114532,1,0,1
R0020,24,Female,None,Odisha,Daily Wage,7,4,0,None,0,NA,0,0,132210.79,67947.91,12582.09,92549.81,20,77370,0,0,0
R0021,35,Male,Primary,Madhya Pradesh,Service Provider,3,1,0,None,0,NA,0,0,277983.81,137831.25,20142.64,164836.14,22,70398,1,0,0
R0022,36,Female,Primary,Kerala,Shopkeeper,7,6,0,None,0,NA,0,0,234771.92,128446.83,54261.41,135330.98,20,172001,3,0,0
R0023,23,Male,None,Karnataka,Farmer,6,3,8.6,Sugarcane,701.9,Borewell,43,7.48,0,0,0,375267.17,22,117056,0,0,1
R0024,24,Male,Graduate,Uttar Pradesh,Service Provider,5,0,0,None,0,NA,0,0,114358.99,75256.12,22205.65,69831,14,49290,1,0,1
R0025,25,Female,Secondary,Uttar Pradesh,Service Provider,6,2,0,None,0,NA,0,0,281926.47,211708.66,28055.91,100017.33,25,120041,1,0,0
R0026,36,Female,Secondary,Telangana,Farmer,4,3,7.64,Wheat,786.7,Canal,40,9.25,0,0,0,181252.21,22,89366,0,0,1
R0027,33,Female,Graduate,Telangana,Farmer,2,0,2,Corn,1004.4,Borewell,79,4.62,0,0,0,102390.04,22,57477,0,0,0
R0028,55,Female,None,Uttar Pradesh,Farmer,3,1,1.52,Sugarcane,959.4,Canal,57,3.54,0,0,0,67270.89,22,57337,1,0,1
R0029,60,Female,Primary,Odisha,Farmer,8,0,4.52,Corn,1273.2,Rain-fed,42,8.63,0,0,0,130947.89,23,85318,2,0,0
R0030,36,Male,Secondary,Gujarat,Farmer,5,4,1.21,Sugarcane,994.8,Rain-fed,74,2.5,0,0,0,55642.23,25,126612,2,0,1
R0031,28,Male,Primary,Kerala,Daily Wage,8,0,0,None,0,NA,0,0,82481.94,45124.74,28564.17,54676.89,27,165118,1,0,0
R0032,42,Female,Secondary,Bihar,Dairy,3,0,0,None,0,NA,0,0,180632.9,113936.29,44476.24,82553.9,23,34134,1,0,1
R0033,41,Female,Graduate,Uttar Pradesh,Farmer,8,3,7.98,Wheat,685.8,Rain-fed,64,19.14,0,0,0,464094,27,32628,3,0,1
R0034,49,Female,Secondary,Kerala,Farmer,8,3,6.77,Millets,996.5,Canal,61,16.1,0,0,0,251352.27,25,95467,0,0,1
R0035,37,Female,Secondary,Uttar Pradesh,Farmer,7,6,9.42,Wheat,810.7,Rain-fed,56,10.25,0,0,0,398202.72,29,126910,2,1,1
R0036,42,Female,Secondary,Madhya Pradesh,Farmer,6,0,5.98,Corn,1071.3,Borewell,42,5.77,0,0,0,266709.73,20,155931,3,1,0
R0037,54,Male,Primary,Karnataka,Shopkeeper,7,2,0,None,0,NA,0,0,227283.78,154778.81,35164.38,91312.73,20,165710,0,0,0
R0038,39,Female,Primary,Uttar Pradesh,Shopkeeper,5,2,0,None,0,NA,0,0,215991.34,147044.04,65705.49,105647.46,18,45977,1,0,0
R0039,63,Male,Secondary,Bihar,Daily Wage,5,4,0,None,0,NA,0,0,198787.23,82372.84,42591.86,142693.73,17,35185,2,0,1
R0040,57,Female,Primary,Gujarat,Farmer,7,1,8.04,Sugarcane,721.4,Rain-fed,82,13.57,0,0,0,408429.93,16,44509,2,0,1
R0041,41,Male,Secondary,Tamil Nadu,Farmer,3,0,0.94,Groundnut,833,Rain-fed,79,0.83,0,0,0,38778.93,20,153436,3,0,0
R0042,32,Female,Primary,Gujarat,Shopkeeper,3,2,0,None,0,NA,0,0,294204.5,178440.95,32606.95,149619.14,17,43338,0,0,0
R0043,34,Male,Primary,Odisha,Service Provider,6,1,0,None,0,NA,0,0,66084.18,51880,68518.61,45083.41,19,56594,0,0,0
R0044,49,Female,Secondary,Gujarat,Farmer,7,4,9.12,Groundnut,963.6,Borewell,50,18.38,0,0,0,423240,23,133993,3,0,1
R0045,60,Female,Primary,Odisha,Farmer,3,1,7.28,Cotton,577.6,Canal,57,11.02,0,0,0,217739.26,18,32447,2,0,1
R0046,29,Male,Secondary,Madhya Pradesh,Farmer,7,1,4.37,Groundnut,852.5,Rain-fed,66,4.22,0,0,0,173334.45,20,103755,1,0,1
R0047,57,Male,Primary,Bihar,Farmer,2,1,4.2,Millets,1274.4,Borewell,74,6.21,0,0,0,187462.82,22,93684,1,0,1
R0048,51,Male,Primary,Madhya Pradesh,Farmer,7,6,2.07,Groundnut,911.7,Borewell,48,4.67,0,0,0,95939.83,15,139211,0,0,0
R0049,57,Male,Secondary,Andhra Pradesh,Farmer,3,1,2.97,Pulses,1369.6,Canal,53,2.51,0,0,0,128990.14,29,95989,2,0,0
R0050,37,Female,Secondary,Kerala,Shopkeeper,5,0,0,None,0,NA,0,0,214389.17,125053.45,48193.18,127579.66,27,41791,0,0,0
R0051,42,Male,None,Uttar Pradesh,Daily Wage,7,0,0,None,0,NA,0,0,84186.72,34288.3,16611.01,80388.62,12,173629,1,0,0
R0052,29,Male,Primary,Telangana,Farmer,2,0,2.93,Pulses,775.6,Borewell,50,5.81,0,0,0,132312.1,26,166592,0,0,0
R0053,30,Female,Secondary,Andhra Pradesh,Farmer,4,3,7.29,Wheat,828.9,Borewell,77,9.33,0,0,0,197541.37,23,198386,1,0,0
R0054,63,Male,Secondary,Bihar,Shopkeeper,4,3,0,None,0,NA,0,0,159028.24,87275.85,64348.91,91976.5,28,102929,0,0,0
R0055,41,Male,Secondary,Madhya Pradesh,Dairy,2,1,0,None,0,NA,0,0,240209.06,168582.84,17218.67,108702.81,20,84408,3,0,0
R0056,53,Female,Secondary,Bihar,Farmer,6,3,8.34,Corn,852.2,Rain-fed,60,6.83,0,0,0,468835.43,13,191511,0,0,1
R0057,48,Male,Secondary,Gujarat,Farmer,7,3,5.2,Pulses,1070.8,Canal,51,12.56,0,0,0,223275.08,22,79846,1,0,1
R0058,37,Female,None,Odisha,Farmer,3,0,4.36,Cotton,1141,Canal,84,9.06,0,0,0,225251.39,24,114051,3,0,1
R0059,38,Male,Secondary,Madhya Pradesh,Farmer,4,2,5.54,Millets,660.7,Borewell,87,4.97,0,0,0,232575.6,19,89656,2,0,1
R0060,39,Female,None,Tamil Nadu,Farmer,3,1,5.59,Sugarcane,1022.8,Rain-fed,52,5.43,0,0,0,130606.28,23,169716,3,0,0
R0061,53,Female,Secondary,Andhra Pradesh,Farmer,4,1,3.37,Sugarcane,1171.6,Rain-fed,57,6.74,0,0,0,78365.82,18,168176,0,0,0
R0062,64,Male,Graduate,Uttar Pradesh,Daily Wage,5,0,0,None,0,NA,0,0,287339.66,228262.75,62736.47,80364.7,21,184080,2,0,0
R0063,31,Male,Graduate,Kerala,Daily Wage,5,0,0,None,0,NA,0,0,86687.4,51756.72,10794.76,58990.5,11,49979,3,0,0
R0064,63,Male,None,Telangana,Farmer,6,2,2.86,Millets,1154.2,Borewell,78,5.12,0,0,0,167272.54,18,177662,1,0,1
R0065,48,Female,Graduate,Bihar,Shopkeeper,4,0,0,None,0,NA,0,0,113663,89258.31,10850.81,63501.05,12,194781,0,0,0
R0066,33,Male,Secondary,Kerala,Farmer,3,0,1.21,Rice,1054.2,Canal,66,2.04,0,0,0,54662.89,23,136685,3,0,1
R0067,65,Female,None,Gujarat,Daily Wage,3,1,0,None,0,NA,0,0,200235.43,152271.68,13181.25,66392.65,19,77155,1,0,0
R0068,61,Male,Secondary,Kerala,Farmer,2,0,3.42,Corn,868.5,Rain-fed,68,4.79,0,0,0,148244.16,20,168345,3,0,0
R0069,37,Female,None,Gujarat,Shopkeeper,2,1,0,None,0,NA,0,0,224335.48,104326.49,73764.9,154685.11,30,134281,2,1,0
R0070,63,Male,Secondary,Uttar Pradesh,Daily Wage,6,0,0,None,0,NA,0,0,160378.33,123987.11,70624.47,47747.78,15,94751,1,0,0
R0071,37,Male,Primary,Bihar,Dairy,8,7,0,None,0,NA,0,0,292779.46,215733.83,68683.01,101106.42,19,39584,3,0,1
R0072,62,Male,Primary,Telangana,Farmer,7,3,9.48,Rice,629,Rain-fed,69,21.52,0,0,0,497852.06,21,190610,2,0,1
R0073,45,Male,Graduate,Uttar Pradesh,Farmer,5,3,5.43,Groundnut,810,Canal,80,8.5,0,0,0,136653.42,30,68869,0,0,1
R0074,55,Male,Primary,Kerala,Farmer,7,3,9.74,Cotton,1024.6,Rain-fed,85,18.91,0,0,0,435622.76,18,144167,2,0,1
R0075,25,Male,Primary,Andhra Pradesh,Farmer,2,0,7.31,Corn,1210.2,Canal,66,12.31,0,0,0,395377.87,21,179031,3,0,1
R0076,44,Male,Secondary,Bihar,Farmer,3,0,8.01,Millets,923.1,Borewell,61,11.9,0,0,0,203138.48,22,66204,2,0,1
R0077,39,Female,Primary,Telangana,Farmer,5,2,7.75,Millets,1111.7,Canal,69,11.37,0,0,0,290617.23,27,117378,1,0,1
R0078,44,Male,None,Madhya Pradesh,Shopkeeper,7,3,0,None,0,NA,0,0,248076.72,138579.9,53546.07,145367.73,30,187520,3,0,0
R0079,61,Male,Graduate,Gujarat,Dairy,3,2,0,None,0,NA,0,0,178107.91,89641.31,42139.5,127867.58,20,137678,2,0,0
R0080,48,Male,Graduate,Odisha,Farmer,2,0,6.72,Sugarcane,548.3,Canal,44,8.12,0,0,0,154792.06,14,55823,2,0,0
R0081,61,Male,Graduate,Karnataka,Dairy,8,6,0,None,0,NA,0,0,93318.52,61249.6,22731.61,52438.94,27,143485,3,0,1
R0082,24,Male,Secondary,Uttar Pradesh,Shopkeeper,4,1,0,None,0,NA,0,0,101356.77,48338.63,12860.8,68086.19,17,45079,3,0,0
R0083,65,Male,Primary,Gujarat,Farmer,4,0,8.06,Corn,878.6,Canal,62,9.28,0,0,0,278640.6,20,36683,3,0,1
R0084,56,Male,Primary,Telangana,Shopkeeper,6,3,0,None,0,NA,0,0,251858.5,164000.22,15723.13,124065.64,28,77069,1,0,0
R0085,34,Female,Primary,Uttar Pradesh,Daily Wage,4,0,0,None,0,NA,0,0,253488.31,177265.36,22916.47,92503.43,18,135103,3,0,0
R0086,30,Male,Graduate,Gujarat,Shopkeeper,6,2,0,None,0,NA,0,0,148539.27,86897.54,62322.97,72742.23,16,182185,3,0,0
R0087,39,Male,Graduate,Madhya Pradesh,Farmer,2,0,3.91,Corn,693,Canal,84,6.53,0,0,0,161422.55,13,120545,0,0,0
R0088,62,Female,None,Kerala,Service Provider,8,0,0,None,0,NA,0,0,118192.92,60006.23,36409.89,68788.83,17,85675,3,0,0
R0089,34,Female,Secondary,Tamil Nadu,Shopkeeper,6,2,0,None,0,NA,0,0,88742.91,67108.36,51551.47,52007.62,24,44776,1,0,0
R0090,61,Male,Secondary,Kerala,Shopkeeper,2,1,0,None,0,NA,0,0,188905.57,119905.25,62180.76,91950.11,14,91724,0,0,0
R0091,40,Female,Primary,Telangana,Farmer,8,5,9.18,Sugarcane,1085.2,Canal,56,12.9,0,0,0,545848.4,21,47303,2,0,1
R0092,27,Female,None,Andhra Pradesh,Shopkeeper,3,2,0,None,0,NA,0,0,96686.19,48186.76,21247.7,64096.44,17,182450,3,0,0
R0093,43,Male,None,Madhya Pradesh,Farmer,6,0,6.89,Corn,1281.9,Canal,77,6.45,0,0,0,282355.34,13,194810,2,0,1
R0094,21,Female,Primary,Bihar,Service Provider,2,1,0,None,0,NA,0,0,267721.71,194587.86,28053.2,88260.48,21,77596,2,0,1
R0095,22,Male,Graduate,Kerala,Farmer,2,0,5.61,Millets,767.5,Canal,69,7.57,0,0,0,207667.94,20,49522,3,0,1
R0096,46,Male,Secondary,Gujarat,Shopkeeper,4,0,0,None,0,NA,0,0,206548.81,106466.04,50686.68,114713.65,20,38810,1,0,0
R0097,43,Male,Primary,Uttar Pradesh,Farmer,7,2,3.12,Wheat,1014.1,Canal,94,4.28,0,0,0,79174.95,17,73289,0,0,0
R0098,61,Male,Secondary,Maharashtra,Daily Wage,3,0,0,None,0,NA,0,0,223560.65,157407.07,51694.71,90300.87,19,188020,1,1,0
R0099,33,Male,Primary,Tamil Nadu,Farmer,3,2,8.65,Sugarcane,974.2,Borewell,48,20.72,0,0,0,235706.64,21,53761,2,0,1
R0100,21,Male,Primary,Maharashtra,Shopkeeper,8,3,0,None,0,NA,0,0,250864.15,120578.09,21455.92,145214.03,25,118921,0,0,1
R0101,23,Male,Secondary,Madhya Pradesh,Farmer,7,0,7.89,Wheat,779.2,Borewell,68,11.12,0,0,0,434644.49,18,104653,1,0,1
R0102,62,Female,Secondary,Gujarat,Dairy,2,0,0,None,0,NA,0,0,150466.66,88033.82,31096.45,94861.12,20,182928,3,0,0
R0103,65,Female,Graduate,Andhra Pradesh,Farmer,4,1,3.11,Pulses,1065.9,Borewell,64,7.28,0,0,0,139855.21,22,53676,2,0,1
R0104,26,Male,Secondary,Uttar Pradesh,Farmer,8,3,8.94,Millets,457.8,Canal,61,19.22,0,0,0,400538.02,20,164062,3,0,1
R0105,47,Female,Primary,Uttar Pradesh,Service Provider,3,2,0,None,0,NA,0,0,96401.97,50581.04,27394.24,78139.32,18,48807,0,0,1
R0106,25,Male,None,Madhya Pradesh,Daily Wage,7,2,0,None,0,NA,0,0,263148.55,118678.8,37810.11,178388.61,14,152783,0,0,0
R0107,55,Female,None,Uttar Pradesh,Daily Wage,4,3,0,None,0,NA,0,0,232808.77,152829.42,58576.39,106261.08,16,60872,0,0,0
R0108,58,Female,None,Karnataka,Farmer,6,1,5.08,Wheat,934.1,Borewell,62,7.53,0,0,0,195479.58,30,129659,2,0,1
R0109,34,Female,Graduate,Odisha,Shopkeeper,8,0,0,None,0,NA,0,0,181413.28,116935.68,11267.71,100641.32,28,148431,2,1,0
R0110,39,Female,None,Karnataka,Shopkeeper,8,2,0,None,0,NA,0,0,281399.85,192166.68,20677.73,116521.82,21,155196,3,1,0
R0111,21,Male,Primary,Odisha,Farmer,5,3,4.02,Pulses,1067.1,Borewell,89,9.6,0,0,0,229231.42,19,197423,0,0,0
R0112,29,Male,None,Bihar,Farmer,2,1,4.53,Groundnut,1407.7,Canal,66,6.7,0,0,0,100522.81,18,30787,1,0,1
R0113,47,Male,Secondary,Kerala,Farmer,6,3,3.43,Cotton,1004.8,Borewell,65,4.69,0,0,0,123228.74,20,88879,0,0,1
R0114,39,Male,Secondary,Telangana,Farmer,4,2,5.23,Millets,1154,Rain-fed,51,8.2,0,0,0,151587.33,19,59986,3,0,1
R0115,55,Female,Primary,Andhra Pradesh,Farmer,7,0,4.87,Wheat,736.3,Canal,95,8.02,0,0,0,179006.68,27,128700,3,0,1
R0116,46,Female,Primary,Andhra Pradesh,Daily Wage,4,1,0,None,0,NA,0,0,211743.43,85806.44,56447.62,141278.07,31,100486,3,0,0
R0117,25,Female,Primary,Andhra Pradesh,Farmer,6,3,4.26,Corn,1414.7,Canal,87,3.89,0,0,0,212993.26,16,64874,1,0,1
R0118,52,Male,Secondary,Odisha,Farmer,8,5,9.6,Sugarcane,911.8,Rain-fed,55,10.79,0,0,0,206035.07,20,41170,1,0,1
R0119,29,Male,Graduate,Telangana,Farmer,7,3,5.86,Groundnut,849,Borewell,83,9.91,0,0,0,220514.79,19,56391,2,0,1
R0120,29,Female,Primary,Andhra Pradesh,Daily Wage,7,2,0,None,0,NA,0,0,103662.75,77199.13,76228.08,47662.9,17,99485,0,0,0
R0121,24,Female,Primary,Gujarat,Daily Wage,2,1,0,None,0,NA,0,0,66092.73,30565.31,60118.06,65295.14,16,33351,0,0,0
R0122,25,Female,Secondary,Gujarat,Farmer,8,0,8.19,Cotton,1200.8,Borewell,60,8,0,0,0,425852.51,15,70491,3,0,1
R0123,48,Male,Graduate,Karnataka,Farmer,2,0,7.22,Groundnut,851.9,Borewell,73,14.64,0,0,0,391525.14,25,143574,1,0,1
R0124,44,Female,Secondary,Karnataka,Farmer,2,1,1.4,Millets,825,Canal,58,1.61,0,0,0,44416.27,27,44536,1,0,0
R0125,29,Female,Graduate,Kerala,Farmer,7,5,6.15,Wheat,965.2,Borewell,59,9.33,0,0,0,342597.24,25,74102,3,0,1
R0126,28,Male,Secondary,Uttar Pradesh,Farmer,6,2,3.43,Cotton,649.8,Canal,61,4.96,0,0,0,149588.47,17,99600,1,0,1
R0127,24,Female,Secondary,Andhra Pradesh,Daily Wage,6,5,0,None,0,NA,0,0,192491.32,110576.76,30612.6,120368.16,24,177640,0,0,0
R0128,59,Male,Primary,Bihar,Daily Wage,3,0,0,None,0,NA,0,0,176983.49,134121.79,65989.87,65618.11,20,73841,1,0,1
R0129,43,Male,Secondary,Gujarat,Farmer,8,7,2.77,Groundnut,934.2,Rain-fed,93,6.85,0,0,0,113646.47,15,33126,2,0,1
R0130,48,Female,Secondary,Kerala,Farmer,6,4,2.04,Cotton,863.2,Borewell,91,4.8,0,0,0,50408.49,21,124210,1,0,1
R0131,50,Female,Graduate,Odisha,Farmer,7,6,1.68,Wheat,1105.8,Rain-fed,88,1.93,0,0,0,34338.92,26,132088,2,0,0
R0132,47,Male,Secondary,Tamil Nadu,Farmer,4,0,4.27,Pulses,994.5,Canal,55,8.24,0,0,0,115353.41,27,95134,0,0,1
R0133,21,Female,Secondary,Andhra Pradesh,Daily Wage,7,2,0,None,0,NA,0,0,184540.25,77282.94,21639.84,139398.32,12,71709,1,1,0
R0134,50,Male,Primary,Gujarat,Farmer,2,0,2.55,Sugarcane,595.2,Borewell,75,3.58,0,0,0,124342.68,17,110929,3,0,1
R0135,39,Male,Primary,Maharashtra,Shopkeeper,7,6,0,None,0,NA,0,0,219281.08,169884.05,61280.05,65845.24,21,114382,0,0,1
R0136,51,Male,Secondary,Uttar Pradesh,Farmer,3,2,4.58,Pulses,740.3,Borewell,55,8.31,0,0,0,152833.48,24,42773,3,0,1
R0137,53,Female,Graduate,Andhra Pradesh,Daily Wage,6,4,0,None,0,NA,0,0,234765.3,140435.79,58188.17,117374.33,16,165901,0,0,0
R0138,50,Male,Primary,Uttar Pradesh,Shopkeeper,4,2,0,None,0,NA,0,0,226727.15,115371.94,51316.15,132184.43,19,122123,2,0,0
R0139,62,Male,Secondary,Bihar,Farmer,4,1,5.69,Sugarcane,976,Borewell,93,12.35,0,0,0,263739.09,16,67606,3,0,1
R0140,31,Male,Secondary,Andhra Pradesh,Farmer,5,0,0.92,Cotton,1022.1,Canal,42,2.28,0,0,0,53141.38,28,126551,2,0,0
R0141,54,Female,None,Kerala,Farmer,7,1,8.69,Rice,683.8,Borewell,95,20.61,0,0,0,511339.85,29,176547,2,0,1
R0142,47,Female,Graduate,Gujarat,Dairy,5,2,0,None,0,NA,0,0,262691.86,138606.78,68024.08,135195.31,21,50496,3,0,1
R0143,53,Female,Secondary,Andhra Pradesh,Shopkeeper,2,1,0,None,0,NA,0,0,78468.77,53242.28,33791.25,56969.49,11,121714,1,0,0
R0144,25,Female,Primary,Uttar Pradesh,Shopkeeper,5,4,0,None,0,NA,0,0,249773.56,131755.8,53812.4,154597.09,21,34148,1,0,1
R0145,22,Female,Graduate,Bihar,Farmer,4,0,6.56,Pulses,1110.6,Borewell,72,14.95,0,0,0,136781.09,26,189642,1,0,1
R0146,58,Female,None,Maharashtra,Farmer,3,2,4.14,Rice,1144.6,Rain-fed,78,6.14,0,0,0,162267.4,19,155389,3,0,1
R0147,24,Male,Primary,Odisha,Farmer,4,2,1.58,Sugarcane,763.3,Borewell,71,1.91,0,0,0,38581.96,18,80372,3,0,1
R0148,36,Female,Graduate,Tamil Nadu,Farmer,4,3,1.79,Wheat,513.3,Rain-fed,68,3.5,0,0,0,51426.98,13,179450,3,0,0
R0149,40,Female,Secondary,Andhra Pradesh,Daily Wage,4,2,0,None,0,NA,0,0,286735.69,168302.55,52938.8,133444.16,29,133315,1,0,0
R0150,27,Male,Primary,Telangana,Farmer,5,0,5.94,Groundnut,658.5,Borewell,91,9.93,0,0,0,173607.15,15,61695,1,0,1
R0151,39,Female,Secondary,Gujarat,Daily Wage,8,6,0,None,0,NA,0,0,247100.27,133446.53,14048.99,152726.82,19,148324,0,0,1
R0152,40,Male,Primary,Gujarat,Farmer,6,2,8.38,Sugarcane,968.7,Rain-fed,89,9.9,0,0,0,242623.66,20,128615,3,0,1
R0153,27,Male,Primary,Kerala,Farmer,4,1,9.44,Corn,824.7,Rain-fed,94,9.02,0,0,0,520129.22,17,181087,2,0,1
R0154,37,Male,Primary,Uttar Pradesh,Farmer,6,0,2.1,Sugarcane,1008.7,Borewell,50,3.65,0,0,0,49306.89,19,74158,2,0,0
R0155,21,Male,Graduate,Maharashtra,Shopkeeper,8,4,0,None,0,NA,0,0,233620.83,139787.09,15673.24,110439.24,22,174705,3,0,1
R0156,60,Female,Graduate,Uttar Pradesh,Daily Wage,5,1,0,None,0,NA,0,0,178835.17,105912.38,51468.54,107663.22,18,126174,3,0,1
R0157,23,Male,Primary,Gujarat,Farmer,5,1,1.86,Pulses,1116.7,Canal,86,2.33,0,0,0,102570.07,24,174599,3,0,1
R0158,55,Male,Primary,Karnataka,Farmer,2,1,1.84,Rice,981.1,Canal,58,4.09,0,0,0,88133.9,22,157962,3,0,0
R0159,30,Female,Secondary,Bihar,Farmer,3,0,5.39,Groundnut,1043,Canal,59,5.77,0,0,0,297715.74,26,170389,0,0,1
R0160,45,Female,Primary,Tamil Nadu,Farmer,4,0,5.2,Groundnut,825.9,Borewell,58,10.73,0,0,0,137438.06,20,78796,0,0,0
R0161,47,Male,Secondary,Kerala,Farmer,8,6,4.31,Cotton,733.3,Borewell,63,7.97,0,0,0,255356.5,22,137781,2,1,0
R0162,55,Female,Secondary,Bihar,Dairy,2,0,0,None,0,NA,0,0,189596.49,134980.98,17488.64,87446.35,18,188445,3,0,0
R0163,55,Female,Primary,Telangana,Farmer,6,3,0.93,Sugarcane,810.7,Canal,85,1.22,0,0,0,44944,18,37776,3,0,1
R0164,52,Male,Graduate,Karnataka,Farmer,4,1,6.36,Corn,938.8,Canal,77,14.51,0,0,0,374855.59,14,34180,3,0,1
R0165,21,Female,Secondary,Karnataka,Farmer,5,4,9.04,Rice,1213.1,Canal,78,17.73,0,0,0,342038.42,19,57816,2,0,1
R0166,57,Male,Secondary,Maharashtra,Shopkeeper,3,2,0,None,0,NA,0,0,250754.29,169879.23,25453.87,93346.49,22,76454,3,0,0
R0167,22,Male,None,Tamil Nadu,Farmer,4,3,7.06,Millets,886.8,Borewell,72,17.06,0,0,0,183858.75,19,101354,3,0,1
R0168,23,Male,Primary,Odisha,Farmer,4,3,3.48,Sugarcane,654.5,Borewell,69,4.41,0,0,0,206569.69,19,69092,2,0,1
R0169,63,Female,Primary,Bihar,Shopkeeper,3,1,0,None,0,NA,0,0,111145.13,45842.21,55616.68,86358.71,26,194593,1,0,0
R0170,38,Male,Primary,Gujarat,Farmer,4,2,5.95,Millets,1232,Canal,65,6.64,0,0,0,325732.31,25,136457,1,0,1
R0171,65,Male,Graduate,Karnataka,Shopkeeper,7,2,0,None,0,NA,0,0,91498.77,37789.95,74459.35,82208.33,24,49942,1,0,0
R0172,55,Female,None,Telangana,Farmer,7,4,0.98,Cotton,975,Rain-fed,80,1.5,0,0,0,27460.57,20,128935,0,0,1
R0173,41,Female,Secondary,Andhra Pradesh,Dairy,3,0,0,None,0,NA,0,0,124558.42,89560.45,31725.34,58654.57,18,132003,1,0,0
R0174,50,Female,Primary,Uttar Pradesh,Farmer,4,2,1.06,Wheat,748.5,Borewell,81,1.37,0,0,0,50667.23,13,197733,1,0,0
R0175,22,Male,Graduate,Madhya Pradesh,Dairy,3,0,0,None,0,NA,0,0,94198.93,56477.46,53270.9,68795.42,21,85498,3,0,1
R0176,38,Male,Primary,Maharashtra,Service Provider,6,0,0,None,0,NA,0,0,184250.79,80176.1,34543.89,115070.78,12,52562,2,0,0
R0177,54,Female,Graduate,Telangana,Farmer,5,2,1.57,Sugarcane,1259.5,Canal,86,3.39,0,0,0,43969.44,15,138193,2,0,1
R0178,41,Female,Secondary,Bihar,Shopkeeper,3,0,0,None,0,NA,0,0,229554.17,94721.96,75534.86,146391.35,20,178065,3,0,0
R0179,25,Female,None,Uttar Pradesh,Farmer,3,1,2.86,Corn,1028.2,Rain-fed,64,5.76,0,0,0,148917.69,18,43620,3,0,0
R0180,39,Male,Secondary,Kerala,Farmer,7,1,1.62,Corn,922.9,Canal,50,3.55,0,0,0,61710.22,22,154370,2,0,0
R0181,38,Female,Primary,Bihar,Farmer,3,1,7.6,Pulses,1090,Borewell,66,7.13,0,0,0,170347.03,16,178203,3,0,0
